tanggal,faktur,produk,jumlah_terjual,harga_satuan,total_harga,gender,regional
01-01-2023,INV001,TV,2,5000000,10000000M,Jakarta
02-01-2023,INV002,Kulkas,1,3000000,3000000,F,Bandung
03-01-2023,INV003,AC,3,4000000,12000000,M,Surabaya
04-01-2023,INV004,Mesin Cuci,1,2500000,2500000,F,Jakarta
05-01-2023,INV005,Kompor Gas,2,1500000,3000000,M,Bandung
06-01-2023,INV006,TV,1,5000000,5000000,F,Surabaya
07-01-2023,INV007,AC,2,4000000,8000000,M,Jakarta
08-01-2023,INV008,Mesin Cuci,3,2500000,7500000,F,Bandung
09-01-2023,INV009,Kulkas,1,3000000,3000000,M,Surabaya
10-01-2023,INV10,Kompor Gas,1,1500000,1500000,F,Jakarta
